frame,tracker_id,label,score,x,y,xx,xy
3,1,Euphausiacea,0.698533833026886,0.1944359987974167,0.605594719780816,0.2156115621328354,0.660640236183449
4,1,Euphausiacea,0.8380832076072693,0.1859632432460785,0.6117240058051215,0.20325052738189697,0.6614669799804688
5,1,Euphausiacea,0.8171664476394653,0.17232301831245422,0.611307214807581,0.1936105340719223,0.6710225705747251
6,1,Euphausiacea,0.8232467770576477,0.16200438141822815,0.6194928769712095,0.1818629503250122,0.676322258843316
7,1,Euphausiacea,0.8015186190605164,0.14963451027870178,0.6266525268554688,0.16929297149181366,0.6855583473488137
8,1,Euphausiacea,0.8224146366119385,0.1366003006696701,0.6316725554289642,0.15549114346504211,0.6880557024920428
9,1,Euphausiacea,0.8280438184738159,0.12169062346220016,0.6394613195348668,0.1413097232580185,0.6975197686089409
10,1,Euphausiacea,0.8402635455131531,0.1060098260641098,0.6449308042173032,0.12553544342517853,0.7043114556206598
10,2,krill molt,0.4851377606391907,0.5359139740467072,0.4702361636691623,0.5587053447961807,0.4999352631745515
11,1,Euphausiacea,0.8625679016113281,0.08562951534986496,0.6478160151728878,0.10930457711219788,0.7145039876302083
11,2,Euphausiacea,0.37592780590057373,0.5356748551130295,0.47216754489474827,0.5587795227766037,0.500657879864728
12,1,Euphausiacea,0.8763547539710999,0.07080410420894623,0.6609224672670717,0.09008801728487015,0.7234590318467882
12,2,Nanomia bijuga,0.39531663060188293,0.5315684974193573,0.47180509214048033,0.560953214764595,0.501929106535735
13,1,Euphausiacea,0.8712501525878906,0.04775334522128105,0.6630628797743056,0.07142795622348785,0.7355804443359375
13,2,Euphausiacea,0.33810657262802124,0.5315129458904266,0.47273124412254053,0.5597570240497589,0.5034119217484085
14,2,Euphausiacea,0.3932402729988098,0.5381108224391937,0.4728004738136574,0.5609400123357773,0.5011146262839988
14,1,Euphausiacea,0.8270817399024963,0.020069031044840813,0.6720087122034144,0.05100349709391594,0.7530721593786169
15,2,Euphausiacea,0.20913808047771454,0.5387477874755859,0.4743576614945023,0.5604245960712433,0.502075590910735
16,3,Nanomia bijuga,0.8175073266029358,0.41649550944566727,0.10165218070701316,0.43674857914447784,0.21442479734067563
17,3,Nanomia bijuga,0.8343377709388733,0.41638650745153427,0.10202244652642144,0.4373772218823433,0.2263350592719184
18,3,Nanomia bijuga,0.6827113628387451,0.4168304353952408,0.09577843701397931,0.4351273402571678,0.20757898401331018
19,3,Nanomia bijuga,0.8154231905937195,0.4143444672226906,0.08486229931866682,0.4343035966157913,0.20655089484320746
20,3,Nanomia bijuga,0.8097153902053833,0.41458917409181595,0.08574759165445964,0.43397024273872375,0.20553545068811488
21,3,Nanomia bijuga,0.738714873790741,0.4144032746553421,0.07919469762731482,0.4329817518591881,0.198809814453125
22,3,Nanomia bijuga,0.7407343983650208,0.4143519252538681,0.0725584383364077,0.4330006390810013,0.20218080591272425
23,3,Nanomia bijuga,0.6961497068405151,0.41371268779039383,0.06671348854347511,0.4319574385881424,0.200515294958044
